url,No&Typeengines,NO ENGINES,AircraftType&reg,Year_of_Manufacture,Yr Manuf,AgeAircraft,AGE AIRCRAFT BAND,Date & Time,Time,TIME BAND,Date,SEASON,DAY OF WK,Year,Location,TYPE OF FLIGHT,NoCrew&Passengers,No of passengers,Injuries,INJURY CLASS,Aircraft Damage,DAMAGE CLASSIFICATION,PIC LICENCE,pic age,PIC AGE BAND,Total hrs,TOTAL HRS,Type Hrs,TYPE HRS,90 day Hrs,90 DAY HRS,28 day Hrs,28 DAY HRS
https://assets.publishing.service.gov.uk/media/63905cc38fa8f569f6a9d290/Piper_PA-46-350P_G-LAMI_01-23.pdf,1 lycoming tio-540-ae2a piston engine,1,": piper pa-46-350p, g-lami",2022 (serial no4636798),2022,0,1,9 july 2022 at 1000,1000,0900-1159,09/07/2022,Summer,Sat,2022,": wycombe airpark, buckinghamshire",private,: crew - 2 passengers - 4,4,: crew - none passengers - none,4,": left wing, both landing gear and fuselage 
damaged",3,airline transport pilot licence,65,61-70,31500,5,131,4,91,5,26,5
https://assets.publishing.service.gov.uk/media/63905e8f8fa8f569f830f837/Piper_PA-34-200T_G-CAHA_01-23.pdf,"2 continental motors corp tsio-360-eb piston 
engines",2,": piper pa-34-200t, g-caha",1977 (serial no34-7770010),1977,45,5,1 june 2022 at 1130,1130,0900-1159,01/06/2022,Summer,Wed,2022,: dundee airport,training/instruction,: crew - 2 passengers - 1,1,: crew - none passengers - none,4,": damage to both propellors, engines and 
airframe",3,airline transport pilot licence,61,61-70,1401,4,200,4,89,5,30,5
https://assets.publishing.service.gov.uk/media/63905e3ed3bf7f3281ab1a77/Cessna_182Q_G-BRRK_01-23.pdf,"1 continental motors corp o-470-u piston 
engine",1,": cessna 182q, g-brrk",1977 (serial no182-66160),1977,45,5,24 august 2022 at 1006,1006,0900-1159,24/08/2022,Summer,Wed,2022,": finmere microlight site, buckinghamshire",private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,: none,4,private pilot licence,63,61-70,545,3,212,4,7,2,5,3
https://assets.publishing.service.gov.uk/media/63905d52d3bf7f32876c9b35/Bede_BD-4_G-BOPD_01-23.pdf,1 lycoming o-320-a2b piston engine,1,": bede bd-4, g-bopd",1974 (serial no632),1974,48,5,10 july 2022 at 0930,930,0900-1159,10/07/2022,Summer,Sun,2022,": fishburn airfield, county durham",private,: crew - 1 passengers - none,0,: crew - none passengers - n/a,4,": left landing gear leg failed, propeller strike, and 
damage to left wing, left door, and engine cowls",3,private pilot licence,68,61-70,1597,4,1444,5,10,3,6,3
https://assets.publishing.service.gov.uk/media/63a43767d3bf7f37654767e8/Piper_PA-23-250_G-BJNZ_02-23.pdf,2 lycoming io-540-c4b5 piston engines,2,": piper pa-23-250, g-bjnz",1979 (serial no27-7954099),1979,43,5,2 april 2022 at 1535,1535,1500-1759,02/04/2022,Spring,Sat,2022,": enfield, greater london",private,: crew - 1 passengers - 3,3,: crew - none passengers - none,4,": damage to the engines, propellers, landing 
gear, left flap and underside of the fuselage",3,private pilot licence,67,61-70,1859,4,1090,5,33,4,21,5
https://assets.publishing.service.gov.uk/media/63761ff18fa8f57721e34e11/Cassutt_Racer_IIIM_G-BPVO_12-22.pdf,"1 continental motors corp o-200-a piston 
engine",1,": cassutt racer iiim, g-bpvo",1973 (serial nodg1),1973,49,5,1 july 2022 at 1042,1042,0900-1159,01/07/2022,Summer,Fri,2022,": near henstridge airfield, somerset",private,: crew - 1 passengers - none,0,: crew - none passengers - n/a,4,: substantial,2,airline transport pilot licence,69,61-70,12632,5,26,2,18,3,5,3
https://assets.publishing.service.gov.uk/media/6376202f8fa8f57717178910/Luscombe_8E_G-BSYF_12-22.pdf,"1 continental motors corp c85-12 piston 
engine",1,": luscombe 8e, g-bsyf",1946 (serial no3455),1946,76,6,23 july 2022 at 1200,1200,1200-1459,23/07/2022,Summer,Sat,2022,": near east winch, kings lynn, norfolk",private,: crew - 1 passengers - none,0,: crew - none passengers - n/a,4,": extensive damage to the airframe and shock 
loading to the engine",2,private pilot licence,59,51-60,1051,4,142,4,2,1,2,2
https://assets.publishing.service.gov.uk/media/6376206ed3bf7f720e73517f/Pioneer_300_G-LEAH_12-22.pdf,1 rotax 912 uls piston engine,1,": pioneer 300, g-leah",2007 (serial nopfa 330-14497),2007,15,2,19 june 2022 at 0954,954,0900-1159,19/06/2022,Summer,Sun,2022,": ludham airfield, norfolk",private,: crew - 1 passengers - 1,1,: crew - none passengers - none,4,": twisted wing box, damaged engine mounting, 
propeller, landing gear and left wing",3,private pilot licence,64,61-70,1846,4,7,1,7,2,7,3
https://assets.publishing.service.gov.uk/media/63762225e90e07285378d228/Zenair_CH_601UL_G-CDAL_12-22.pdf,1 rotax 912-s piston engine,1,": zenair ch 601ul, g-cdal",2004 (serial nopfa 162a-14195),2004,18,2,1 august 2022 at 1050,1050,0900-1159,01/08/2022,Summer,Mon,2022,": field northwest of kinglassie, near fife airport",private,: crew - 1 passengers - none,0,: crew - 1 (minor) passengers - n/a,3,": significant damage to fuselage, wings, 
propeller, canopy, and undercarriage",2,private pilot licence,70,61-70,828,4,45,2,18,3,5,3
https://assets.publishing.service.gov.uk/media/63628e4e8fa8f505734175db/Piper_PA-28R-200-2_G-EGVA_12-22.pdf,1 lycoming io-360-c1c piston engine,1,": piper pa-28r-200-2, g-egva",1976 (serial no28r-76-35229),1976,46,5,2 april 2022 at 0920,920,0900-1159,02/04/2022,Spring,Sat,2022,: approximately 20 nm west of le touquet,private,: crew - 1 passengers -1,1,: crew - 1 (missing) passengers - 1 (missing),1,: aircraft missing,1,private pilot licence,69,61-70,200,2,5,1,1,1,1,1
